                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                 2.3853,                 2.5782,                 1.3291,                0.02761,                0.57684,                0.03415,                0.01438,                 2.0912,                 2.5063,                 1.3169,              0.0007724,              0.0007724,              0.0007724
                     64,                  2.438,                 2.5962,                 1.3468,                0.02801,                0.58516,                0.03462,                0.01449,                 2.1101,                 2.5286,                 1.3373,              0.0007526,              0.0007526,              0.0007526
                     65,                 2.3693,                 2.5454,                 1.2854,                 0.0275,                0.57456,                0.03292,                0.01374,                 2.1412,                 2.5563,                 1.3341,              0.0007328,              0.0007328,              0.0007328
                     66,                 2.4295,                 2.5236,                  1.307,                0.02638,                 0.5511,                 0.0292,                0.01076,                 2.4746,                 2.6079,                 1.4224,               0.000713,               0.000713,               0.000713
                     67,                 2.3728,                 2.5731,                 1.3054,                0.02609,                0.54504,                0.02706,                0.00937,                 2.6402,                 2.6203,                 1.4724,              0.0006932,              0.0006932,              0.0006932
                     68,                  2.372,                 2.5588,                 1.2916,                0.02663,                 0.5564,                0.02766,                0.01077,                 2.4238,                  2.616,                 1.3954,              0.0006734,              0.0006734,              0.0006734
                     69,                 2.3591,                 2.6368,                 1.3176,                0.02707,                0.56548,                0.02934,                0.01226,                 2.2738,                 2.6218,                 1.3455,              0.0006536,              0.0006536,              0.0006536
                     70,                 2.3066,                 2.5313,                 1.3055,                0.02775,                0.57986,                0.03351,                0.01422,                 2.1713,                 2.6056,                 1.3211,              0.0006338,              0.0006338,              0.0006338
                     71,                 2.3569,                 2.5979,                 1.3042,                0.02783,                0.58138,                0.03377,                0.01394,                 2.1861,                 2.5895,                 1.3212,               0.000614,               0.000614,               0.000614
                     72,                 2.4077,                 2.5743,                 1.2915,                0.02779,                0.58062,                0.03233,                0.01324,                 2.2219,                 2.5672,                 1.3269,              0.0005942,              0.0005942,              0.0005942
                     73,                 2.3514,                 2.6206,                  1.337,                0.02764,                0.57759,                0.03162,                0.01288,                 2.2521,                 2.5585,                 1.3346,              0.0005744,              0.0005744,              0.0005744
                     74,                 2.3975,                 2.5535,                 1.2801,                0.02841,                0.59349,                0.03143,                0.01244,                 2.3091,                 2.5416,                 1.3483,              0.0005546,              0.0005546,              0.0005546
                     75,                 2.3293,                  2.588,                 1.3032,                0.02815,                0.58819,                0.03152,                 0.0122,                 2.4168,                 2.5396,                 1.3897,              0.0005348,              0.0005348,              0.0005348
                     76,                 2.4215,                 2.5573,                 1.3258,                0.02768,                0.57835,                0.03303,                0.01249,                 2.4981,                 2.5334,                 1.4267,               0.000515,               0.000515,               0.000515
                     77,                 2.3082,                 2.5498,                 1.3006,                 0.0275,                0.57456,                0.03389,                0.01272,                 2.5862,                 2.5345,                 1.4647,              0.0004952,              0.0004952,              0.0004952
                     78,                 2.3775,                 2.5474,                 1.3128,                0.02707,                0.56548,                0.03311,                0.01216,                 2.6671,                 2.5369,                 1.5041,              0.0004754,              0.0004754,              0.0004754
                     79,                 2.3501,                  2.525,                 1.2944,                0.02732,                0.57078,                0.03454,                 0.0134,                    2.6,                 2.5379,                  1.478,              0.0004556,              0.0004556,              0.0004556
                     80,                 2.3577,                 2.5586,                  1.299,                0.02717,                0.56775,                0.03398,                0.01309,                 2.5978,                 2.5339,                 1.4761,              0.0004358,              0.0004358,              0.0004358
                     81,                 2.2996,                 2.5638,                 1.2982,                0.02728,                0.57002,                0.03391,                0.01307,                 2.5875,                 2.5334,                  1.472,               0.000416,               0.000416,               0.000416
                     82,                 2.4297,                 2.4943,                 1.2975,                0.02728,                0.57002,                0.03392,                0.01297,                 2.5766,                 2.5373,                 1.4683,              0.0003962,              0.0003962,              0.0003962
                     83,                 2.3013,                 2.5404,                 1.3117,                0.02707,                0.56548,                0.03362,                0.01228,                 2.7176,                 2.5394,                 1.5195,              0.0003764,              0.0003764,              0.0003764
                     84,                 2.2864,                 2.6335,                 1.3057,                 0.0271,                0.56624,                0.03126,                0.01103,                 2.7258,                 2.5323,                 1.5213,              0.0003566,              0.0003566,              0.0003566
                     85,                 2.2871,                 2.5625,                 1.3012,                0.02714,                0.56699,                0.03169,                0.01123,                 2.7149,                 2.5298,                 1.5164,              0.0003368,              0.0003368,              0.0003368
                     86,                 2.3506,                 2.4942,                 1.2879,                0.02674,                0.55867,                0.03122,                0.01056,                 2.7587,                 2.5341,                 1.5372,               0.000317,               0.000317,               0.000317
                     87,                 2.3313,                 2.5597,                 1.2752,                0.02663,                 0.5564,                0.03135,                0.01041,                 2.8046,                  2.538,                 1.5594,              0.0002972,              0.0002972,              0.0002972
                     88,                 2.3865,                 2.5334,                 1.2946,                0.02685,                0.56094,                0.03157,                0.01057,                 2.8639,                 2.5375,                 1.5828,              0.0002774,              0.0002774,              0.0002774
                     89,                 2.3395,                 2.5665,                 1.2748,                0.02688,                 0.5617,                0.03366,                0.01171,                 2.8731,                 2.5401,                 1.5866,              0.0002576,              0.0002576,              0.0002576
                     90,                 2.2943,                 2.5826,                 1.2802,                0.02743,                0.57305,                0.03351,                0.01194,                 2.8215,                 2.5411,                 1.5621,              0.0002378,              0.0002378,              0.0002378
